Code,Title,Industry,Vertical,Canton,Spin-offs,City,Year,Highlights,Gender CEO,OOB,Funded,Comment
CHE-180.769.007,iCompare (iC21 AG),ICT,,ZH,,,2011.0,,,1.0,0.0,
CHE-214.060.759,SwissLeg,medtech,,Ticino,,,2012.0,"Top 100 Swiss Startup Award 2013, Innosuisse Certificate, Winner Venture Kick",,1.0,0.0,
CHE-243.164.131,Powersens SA,medtech,,Genève,,,2011.0,,,1.0,0.0,
CHE-116.229.862,Siltectra GmbH (ENEXRA Tools GmbH),micro / nano,,Aargau,Universität Zürich,,2008.0,,,1.0,0.0,
CHE-207.004.891,Foxel SA,ICT,,GE,,,2013.0,,,1.0,0.0,
CHE-281.116.469,Pandora Underwater Equipment SA,consumer products,,Vaud,EPFL,,2011.0,,,1.0,0.0,
CHE-112.460.277,SRB Energy Research Sàrl,cleantech,,GE,,,2005.0,,,1.0,0.0,
CHE-114.394.421,Sensometrix SA,micro / nano,,GE,,,2008.0,,,1.0,0.0,
CHE-113.755.663,R'ADYS AG,consumer products,,BE,,,2007.0,,,1.0,0.0,
CHE-114.873.130,Cardiolynx AG,biotech,,Basel-Stadt,,,2009.0,,Male,1.0,0.0,
CHE-114.438.314,PhotoCore AG,micro / nano,,ZH,ETH,,2008.0,,,1.0,0.0,
CHE-308.396.051,WebOptix AG,ICT,,St. Gallen,,,2011.0,,,1.0,0.0,
CHE-115.673.881,Ozics AG,medtech,,St. Gallen,,,2010.0,,,1.0,0.0,
CHE-241.028.600,IONIGHT AG,micro / nano,,BE,Universität Bern,,2014.0,,,1.0,0.0,
CHE-285.023.401,KORING ALPHA GmbH,medtech,,Basel-Stadt,Universität Basel,,2014.0,"Top 100 Swiss Startup Award 2013, Innosuisse Certificate, Winner Venture Kick, Top 100 Swiss Startup Award 2015",,1.0,0.0,
CHE-307.648.468,Actigenomics SA,biotech,,VD,,,2011.0,,,1.0,0.0,
CHE-456.614.469,Muvacon GmbH,ICT,,Zürich,,,2011.0,,,1.0,0.0,
CHE-116.015.775,Juvia AG,,,Zug,,,2005.0,,,1.0,0.0,
CHE-371.752.339,RedTape SA,ICT,,Genève,,,2014.0,,Male,1.0,0.0,
